distance,average_hours,truck_age,load_capacity_pounds,mileage_mpg,fuel_type,temp_x,wind_speed_x,humidity_x,visibility_x,pressure_x,no_of_vehicles,accident,gender,age,experience,driving_style,ratings,average_speed_mph,temp_y,wind_speed_y,humidity_y,visibility_y,pressure_y,delay,efficiency,fuel_efficiency,weather_impact,visibility_speed,age_experience_ratio
645.31,12.91,10,8501.88,16,gas,32.75,10.5,90.0,3.5,1008.25,1891.38,2,male,54,11,conservative,8,44.46,39.0,9.96,82.21,6.0,1022.92,0,49.99,40.33,896.25,155.61,4.91
174.94,3.5,9,15000.0,22,diesel,38.0,9.75,70.25,3.5,1006.25,1883.04,1,male,45,16,proactive,9,59.91,39.0,9.96,82.21,6.0,1022.92,1,49.98,7.95,699.57,209.68,2.81
250.02,5.0,9,3000.0,20,diesel,54.5,11.5,48.75,6.0,1008.0,1874.71,0,male,48,12,conservative,6,52.81,39.0,9.96,82.21,6.0,1022.92,0,50.0,12.5,485.47,316.86,4.0
641.57,12.83,7,15000.0,18,gas,21.0,9.5,94.0,3.5,1021.75,1891.38,2,male,44,15,proactive,4,58.17,39.0,9.96,82.21,6.0,1022.92,1,50.01,35.64,936.08,203.6,2.93
379.11,7.58,9,3000.0,23,gas,32.0,10.0,81.5,3.0,1018.25,1874.71,0,male,45,4,conservative,7,51.3,39.0,9.96,82.21,6.0,1022.92,0,50.01,16.48,811.6,153.9,11.25
879.04,17.58,11,20000.0,22,diesel,41.0,12.5,88.0,2.25,1009.0,1883.04,1,male,45,2,proactive,2,57.65,39.0,9.96,82.21,6.0,1022.92,1,50.0,39.96,876.33,129.71,22.5
445.41,8.91,10,3000.0,19,gas,58.0,13.75,59.5,3.75,1001.0,1883.04,1,male,47,9,Unknown,8,65.42,39.0,9.96,82.21,6.0,1022.92,0,49.99,23.44,592.52,245.32,5.22
793.44,15.87,8,3000.0,22,diesel,43.5,8.0,80.25,5.0,1006.25,1883.04,1,male,46,8,conservative,7,43.69,39.0,9.96,82.21,6.0,1022.92,0,50.0,36.07,799.16,218.45,5.75
689.34,13.79,10,15000.0,21,gas,71.0,6.25,50.0,5.25,1015.0,1891.38,2,male,43,10,conservative,2,46.57,39.0,9.96,82.21,6.0,1022.92,1,49.99,32.83,497.92,244.49,4.3
663.33,13.27,10,10000.0,15,gas,54.5,6.5,53.75,6.0,1013.25,1874.71,0,male,52,21,proactive,6,61.04,39.0,9.96,82.21,6.0,1022.92,0,49.99,44.22,535.26,366.24,2.48
262.27,5.25,9,4000.0,22,diesel,65.0,7.25,53.5,6.0,1010.0,1874.71,0,male,57,21,conservative,9,49.47,39.0,9.96,82.21,6.0,1022.92,0,49.96,11.92,532.77,296.82,2.71
214.42,4.29,10,4000.0,22,diesel,47.75,9.0,81.5,3.5,1011.25,1883.04,1,male,42,2,proactive,7,60.48,39.0,9.96,82.21,6.0,1022.92,1,49.98,9.75,811.6,211.68,21.0
768.78,15.38,12,6000.0,22,diesel,45.25,10.0,74.0,4.75,1005.75,1891.38,2,male,44,7,conservative,4,47.62,39.0,9.96,82.21,6.0,1022.92,0,49.99,34.94,736.92,226.2,6.29
492.14,9.84,9,3000.0,17,gas,49.5,12.0,38.25,6.0,1013.5,1874.71,0,male,46,13,conservative,5,44.2,39.0,9.96,82.21,6.0,1022.92,0,50.01,28.95,380.91,265.2,3.54
439.0,8.78,9,15000.0,20,Unknown,49.5,3.25,66.75,4.5,1018.25,1891.38,2,male,54,22,proactive,8,62.13,39.0,9.96,82.21,6.0,1022.92,0,50.0,21.95,664.72,279.59,2.45
588.22,11.76,13,3000.0,17,gas,49.0,9.75,66.75,6.0,1008.75,1891.38,2,male,46,13,conservative,6,31.63,39.0,9.96,82.21,6.0,1022.92,1,50.02,34.6,664.72,189.78,3.54
218.31,4.37,10,3000.0,15,gas,46.0,10.0,69.75,3.0,1017.25,1916.38,5,male,51,14,proactive,6,59.57,39.0,9.96,82.21,6.0,1022.92,1,49.96,14.55,694.59,178.71,3.64
229.5,4.59,11,4000.0,25,diesel,72.0,9.5,58.5,3.75,1012.5,1874.71,0,male,44,16,conservative,4,39.32,39.0,9.96,82.21,6.0,1022.92,1,50.0,9.18,582.56,147.45,2.75
458.91,9.18,9,4000.0,21,diesel,50.25,4.5,59.25,5.25,1016.0,1874.71,0,male,53,24,proactive,6,61.13,39.0,9.96,82.21,6.0,1022.92,0,49.99,21.85,590.03,320.93,2.21
391.87,7.84,10,6000.0,16,gas,62.5,6.25,61.5,6.0,1015.25,1883.04,1,female,51,17,conservative,8,47.02,39.0,9.96,82.21,6.0,1022.92,0,49.98,24.49,612.44,282.12,3.0
128.77,2.58,11,6000.0,26,diesel,61.25,6.25,55.25,6.0,1010.25,1891.38,2,male,54,8,proactive,2,59.68,39.0,9.96,82.21,6.0,1022.92,0,49.91,4.95,550.2,358.08,6.75
871.28,17.43,8,15000.0,16,gas,55.25,5.0,77.25,6.0,1013.25,1883.04,1,male,60,22,conservative,7,42.39,39.0,9.96,82.21,6.0,1022.92,0,49.99,54.46,769.28,254.34,2.73
516.77,10.34,10,6000.0,24,diesel,44.0,7.5,82.5,3.5,1006.5,1883.04,1,female,40,6,proactive,8,59.5,39.0,9.96,82.21,6.0,1022.92,1,49.98,21.53,821.56,208.25,6.67
139.34,2.79,9,15000.0,23,Unknown,47.5,4.5,73.25,6.0,1007.0,1883.04,1,male,57,28,Unknown,9,64.32,39.0,9.96,82.21,6.0,1022.92,0,49.94,6.06,729.45,385.92,2.04
447.0,8.94,9,15000.0,19,gas,55.0,7.75,57.5,4.75,1013.25,1764.17,2,male,44,2,conservative,3,43.74,75.67,5.04,81.62,6.0,1013.75,1,50.0,23.53,289.9,207.76,22.0
1129.55,22.59,7,4000.0,24,diesel,31.5,10.5,50.75,5.0,1013.0,1764.17,2,male,50,18,proactive,4,60.31,75.67,5.04,81.62,6.0,1013.75,0,50.0,47.06,255.86,301.55,2.78
1095.32,21.91,10,6000.0,25,diesel,37.5,8.0,60.5,5.0,1015.25,1747.5,0,male,50,6,proactive,3,57.66,75.67,5.04,81.62,6.0,1013.75,1,49.99,43.81,305.02,288.3,8.33
1062.45,21.25,9,3000.0,18,gas,51.5,8.0,67.5,4.75,1019.0,1747.5,0,male,48,7,proactive,4,55.21,75.67,5.04,81.62,6.0,1013.75,0,50.0,59.03,340.31,262.25,6.86
1129.55,22.59,5,15000.0,19,gas,31.5,10.5,50.75,5.0,1013.0,1766.33,3,male,53,23,conservative,8,38.35,64.42,4.92,48.42,6.0,1011.5,0,50.0,59.45,249.52,191.75,2.3
1050.84,21.02,8,15000.0,13,gas,43.25,9.25,78.5,6.0,1021.25,1797.0,1,male,53,26,proactive,6,61.97,-2.42,2.83,82.58,6.0,1037.42,0,49.99,80.83,222.42,371.82,2.04
657.5,13.15,11,15000.0,25,diesel,61.5,3.75,84.75,6.0,1015.5,1797.0,1,male,53,20,conservative,7,47.15,-2.42,2.83,82.58,6.0,1037.42,0,50.0,26.3,240.12,282.9,2.65
740.08,14.8,11,15000.0,15,gas,58.75,7.5,53.75,6.0,1015.25,1813.67,3,male,45,11,conservative,8,47.51,-2.42,2.83,82.58,6.0,1037.42,0,50.01,49.34,152.29,285.06,4.09
1087.41,21.75,8,4000.0,17,gas,48.75,4.5,60.0,3.5,1020.25,1805.33,2,male,45,10,proactive,3,56.59,-2.42,2.83,82.58,6.0,1037.42,0,50.0,63.97,170.0,198.06,4.5
493.35,9.87,6,15000.0,21,diesel,50.5,8.25,89.25,4.75,1014.75,1788.67,0,male,48,11,proactive,4,57.9,-2.42,2.83,82.58,6.0,1037.42,0,49.98,23.49,252.88,275.02,4.36
905.49,18.11,7,15000.0,25,diesel,28.5,5.75,76.5,6.0,1022.25,1788.67,0,male,45,7,conservative,3,44.82,-2.42,2.83,82.58,6.0,1037.42,0,50.0,36.22,216.75,268.92,6.43
952.33,19.05,9,3000.0,13,gas,41.5,2.5,63.25,6.0,1023.0,1788.67,0,male,37,4,conservative,3,43.66,-2.42,2.83,82.58,6.0,1037.42,0,49.99,73.26,179.21,261.96,9.25
1106.98,22.14,11,4000.0,17,gas,78.5,3.5,54.75,5.25,1012.5,1788.67,0,male,52,21,proactive,8,58.72,-2.42,2.83,82.58,6.0,1037.42,1,50.0,65.12,155.12,308.28,2.48
538.87,10.78,8,4000.0,24,diesel,46.0,6.0,65.5,6.0,1022.0,1797.0,1,male,50,15,proactive,4,58.91,-2.42,2.83,82.58,6.0,1037.42,0,49.99,22.45,185.58,353.46,3.33
1013.27,20.27,11,10000.0,18,Unknown,78.75,8.75,31.5,6.0,1012.5,1797.0,1,male,54,19,conservative,4,47.98,-2.42,2.83,82.58,6.0,1037.42,0,49.99,56.29,89.25,287.88,2.84
1170.78,23.42,5,20000.0,17,gas,49.0,7.5,60.5,5.0,1021.5,1797.0,1,male,51,17,conservative,4,48.76,-2.42,2.83,82.58,6.0,1037.42,0,49.99,68.87,171.42,243.8,3.0
1110.84,22.22,10,6000.0,15,gas,59.0,5.5,80.75,6.0,1019.25,1805.33,2,male,44,7,proactive,2,60.61,-2.42,2.83,82.58,6.0,1037.42,0,49.99,74.06,228.79,363.66,6.29
950.15,19.0,10,6000.0,27,diesel,81.25,3.5,56.5,6.0,1014.0,1805.33,2,male,45,18,proactive,4,60.77,-2.42,2.83,82.58,6.0,1037.42,0,50.01,35.19,160.08,364.62,2.5
769.05,15.38,12,15000.0,14,gas,55.0,14.25,77.25,3.0,1006.5,1797.0,1,male,49,14,proactive,4,63.42,-2.42,2.83,82.58,6.0,1037.42,0,50.0,54.93,218.88,190.26,3.5
1120.7,22.41,10,10000.0,16,gas,62.0,9.25,60.75,6.0,1012.0,1805.33,2,male,58,16,conservative,7,40.37,-2.42,2.83,82.58,6.0,1037.42,0,50.01,70.04,172.12,242.22,3.62
1156.22,23.12,11,6000.0,23,diesel,36.75,6.0,88.25,5.0,1022.25,1813.67,3,male,49,12,proactive,4,59.71,-2.42,2.83,82.58,6.0,1037.42,0,50.01,50.27,250.04,298.55,4.08
1132.08,22.64,4,4000.0,17,gas,64.75,7.0,79.0,6.0,1018.0,1805.33,2,male,58,20,proactive,9,61.25,-2.42,2.83,82.58,6.0,1037.42,0,50.0,66.59,223.83,367.5,2.9
1033.62,20.67,8,10000.0,23,diesel,60.75,16.25,76.75,5.5,1009.75,1805.33,2,female,49,0,proactive,4,60.32,-2.42,2.83,82.58,6.0,1037.42,0,50.01,44.94,217.46,331.76,inf
852.12,17.04,9,10000.0,23,diesel,23.0,7.0,81.5,6.0,1021.25,1797.0,1,male,50,8,proactive,7,60.8,-2.42,2.83,82.58,6.0,1037.42,0,50.01,37.05,230.92,364.8,6.25
38.1,0.76,8,4000.0,20,diesel,24.0,7.0,63.75,5.5,1019.75,1530.75,2,male,51,31,proactive,8,59.64,28.54,10.12,82.25,4.46,1026.46,0,50.13,1.9,645.47,328.02,1.65
273.0,5.46,14,15000.0,18,gas,39.5,4.75,53.75,6.0,1017.25,1522.42,1,male,55,19,conservative,7,41.22,28.54,10.12,82.25,4.46,1026.46,0,50.0,15.17,544.22,247.32,2.89
1087.41,21.75,13,3000.0,25,diesel,48.75,4.5,60.0,3.5,1020.25,1514.08,0,male,52,16,conservative,7,54.78,28.54,10.12,82.25,4.46,1026.46,0,50.0,43.5,607.5,191.73,3.25
661.29,13.23,13,6000.0,22,diesel,38.5,2.75,82.75,5.25,1023.0,1522.42,1,male,48,12,conservative,8,48.17,28.54,10.12,82.25,4.46,1026.46,0,49.98,30.06,837.84,252.89,4.0
757.39,15.15,7,15000.0,19,Unknown,21.5,3.0,74.0,6.0,1031.0,1522.42,1,male,49,3,conservative,8,48.22,28.54,10.12,82.25,4.46,1026.46,0,49.99,39.86,749.25,289.32,16.33
444.02,8.88,8,15000.0,26,diesel,32.0,6.5,84.5,6.0,1018.0,1530.75,2,male,41,7,proactive,3,65.21,28.54,10.12,82.25,4.46,1026.46,1,50.0,17.08,855.56,391.26,5.86
416.87,8.34,9,6000.0,22,diesel,37.5,6.0,78.75,6.0,1021.5,1539.08,3,male,48,14,proactive,8,59.38,28.54,10.12,82.25,4.46,1026.46,0,49.98,18.95,797.34,356.28,3.43
903.25,18.07,9,3000.0,21,diesel,38.5,8.0,85.0,5.25,1022.0,1522.42,1,male,65,20,proactive,4,60.88,28.54,10.12,82.25,4.46,1026.46,0,49.99,43.01,860.62,319.62,3.25
251.66,5.03,10,8501.88,21,gas,40.0,5.25,70.75,6.0,1020.0,1514.08,0,male,39,3,proactive,3,64.0,28.54,10.12,82.25,4.46,1026.46,0,50.03,11.98,716.34,384.0,13.0
214.41,4.29,7,3000.0,23,diesel,58.75,4.0,55.5,6.0,1012.25,1522.42,1,male,41,1,conservative,3,50.48,28.54,10.12,82.25,4.46,1026.46,0,49.98,9.32,561.94,302.88,41.0
191.76,3.84,10,4000.0,27,diesel,60.75,7.25,30.75,6.0,1015.75,1522.42,1,male,44,12,proactive,8,60.14,28.54,10.12,82.25,4.46,1026.46,0,49.94,7.1,311.34,360.84,3.67
185.73,3.71,11,6000.0,24,diesel,47.0,5.75,61.0,6.0,1017.75,1514.08,0,male,40,6,conservative,4,41.31,28.54,10.12,82.25,4.46,1026.46,1,50.06,7.74,617.62,247.86,6.67
882.21,17.64,10,6000.0,24,diesel,37.0,3.5,66.0,3.5,1018.75,1530.75,2,male,53,20,conservative,7,51.65,28.54,10.12,82.25,4.46,1026.46,0,50.01,36.76,668.25,180.78,2.65
406.64,8.13,9,3000.0,15,gas,43.0,7.25,87.25,6.0,1010.75,1514.08,0,male,49,7,Unknown,8,64.47,28.54,10.12,82.25,4.46,1026.46,1,50.02,27.11,883.41,386.82,7.0
66.17,1.32,11,15000.0,23,diesel,55.5,15.25,86.25,5.75,1011.0,1522.42,1,male,49,16,proactive,4,58.09,28.54,10.12,82.25,4.46,1026.46,0,50.13,2.88,873.28,334.02,3.06
878.33,17.57,8,4000.0,25,diesel,30.75,1.5,81.25,6.0,1030.5,1522.42,1,male,42,8,conservative,3,29.32,28.54,10.12,82.25,4.46,1026.46,0,49.99,35.13,822.66,175.92,5.25
851.76,17.04,8,15000.0,16,gas,44.25,7.0,73.5,6.0,1012.5,1522.42,1,male,44,12,proactive,5,60.83,28.54,10.12,82.25,4.46,1026.46,1,49.99,53.24,744.19,364.98,3.67
717.3,14.35,9,4000.0,23,diesel,50.0,6.25,70.75,6.0,1015.0,1547.42,4,male,46,4,proactive,4,59.33,28.54,10.12,82.25,4.46,1026.46,1,49.99,31.19,716.34,355.98,11.5
1018.36,20.37,12,15000.0,14,gas,46.25,5.0,74.25,5.25,1015.5,1530.75,2,male,54,12,proactive,4,58.14,28.54,10.12,82.25,4.46,1026.46,0,49.99,72.74,751.78,305.24,4.5
543.09,10.86,11,15000.0,16,gas,70.0,6.0,62.0,6.0,1012.0,1522.42,1,male,45,6,conservative,2,43.24,28.54,10.12,82.25,4.46,1026.46,0,50.01,33.94,627.75,259.44,7.5
403.56,8.07,11,15000.0,17,gas,51.5,4.5,62.0,6.0,1014.25,1514.08,0,male,51,18,proactive,6,60.21,28.54,10.12,82.25,4.46,1026.46,1,50.01,23.74,627.75,361.26,2.83
134.12,2.68,10,15000.0,16,gas,51.75,7.0,63.5,6.0,1015.5,1522.42,1,male,59,16,conservative,6,48.42,28.54,10.12,82.25,4.46,1026.46,0,50.04,8.38,642.94,290.52,3.69
76.48,1.53,9,6000.0,19,gas,54.5,5.75,73.5,6.0,1013.25,1514.08,0,female,47,7,proactive,8,56.77,28.54,10.12,82.25,4.46,1026.46,0,49.99,4.03,744.19,340.62,6.71
